date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-11-09,FY24,2023-11,Nov,2023Q4,2023-W45,Thursday,1
2023-11-10,FY24,2023-11,Nov,2023Q4,2023-W45,Friday,1
2023-11-11,FY24,2023-11,Nov,2023Q4,2023-W45,Saturday,1
2023-11-12,FY24,2023-11,Nov,2023Q4,2023-W46,Sunday,1
2023-11-13,FY24,2023-11,Nov,2023Q4,2023-W46,Monday,1
2023-11-14,FY24,2023-11,Nov,2023Q4,2023-W46,Tuesday,1
2023-11-15,FY24,2023-11,Nov,2023Q4,2023-W46,Wednesday,1
2023-11-16,FY24,2023-11,Nov,2023Q4,2023-W46,Thursday,1
2023-11-17,FY24,2023-11,Nov,2023Q4,2023-W46,Friday,1
2023-11-18,FY24,2023-11,Nov,2023Q4,2023-W46,Saturday,1
2023-11-19,FY24,2023-11,Nov,2023Q4,2023-W47,Sunday,1
2023-11-20,FY24,2023-11,Nov,2023Q4,2023-W47,Monday,1
2023-11-21,FY24,2023-11,Nov,2023Q4,2023-W47,Tuesday,1
2023-11-22,FY24,2023-11,Nov,2023Q4,2023-W47,Wednesday,1
2023-11-23,FY24,2023-11,Nov,2023Q4,2023-W47,Thursday,1
2023-11-24,FY24,2023-11,Nov,2023Q4,2023-W47,Friday,1
2023-11-25,FY24,2023-11,Nov,2023Q4,2023-W47,Saturday,1
2023-11-26,FY24,2023-11,Nov,2023Q4,2023-W48,Sunday,1
2023-11-27,FY24,2023-11,Nov,2023Q4,2023-W48,Monday,1
2023-11-28,FY24,2023-11,Nov,2023Q4,2023-W48,Tuesday,1
2023-11-29,FY24,2023-11,Nov,2023Q4,2023-W48,Wednesday,1
2023-11-30,FY24,2023-11,Nov,2023Q4,2023-W48,Thursday,1
2023-12-01,FY24,2023-12,Dec,2023Q4,2023-W48,Friday,1
2023-12-02,FY24,2023-12,Dec,2023Q4,2023-W48,Saturday,1
2023-12-03,FY24,2023-12,Dec,2023Q4,2023-W49,Sunday,1
2023-12-04,FY24,2023-12,Dec,2023Q4,2023-W49,Monday,1
2023-12-05,FY24,2023-12,Dec,2023Q4,2023-W49,Tuesday,1
2023-12-06,FY24,2023-12,Dec,2023Q4,2023-W49,Wednesday,1
2023-12-07,FY24,2023-12,Dec,2023Q4,2023-W49,Thursday,1
2023-12-08,FY24,2023-12,Dec,2023Q4,2023-W49,Friday,1
2023-12-09,FY24,2023-12,Dec,2023Q4,2023-W49,Saturday,1
2023-12-10,FY24,2023-12,Dec,2023Q4,2023-W50,Sunday,1
2023-12-11,FY24,2023-12,Dec,2023Q4,2023-W50,Monday,1
2023-12-12,FY24,2023-12,Dec,2023Q4,2023-W50,Tuesday,1
2023-12-13,FY24,2023-12,Dec,2023Q4,2023-W50,Wednesday,1
2023-12-14,FY24,2023-12,Dec,2023Q4,2023-W50,Thursday,1
2023-12-15,FY24,2023-12,Dec,2023Q4,2023-W50,Friday,1
2023-12-16,FY24,2023-12,Dec,2023Q4,2023-W50,Saturday,1
2023-12-17,FY24,2023-12,Dec,2023Q4,2023-W51,Sunday,1
2023-12-18,FY24,2023-12,Dec,2023Q4,2023-W51,Monday,1
2023-12-19,FY24,2023-12,Dec,2023Q4,2023-W51,Tuesday,1
2023-12-20,FY24,2023-12,Dec,2023Q4,2023-W51,Wednesday,1
2023-12-21,FY24,2023-12,Dec,2023Q4,2023-W51,Thursday,1
2023-12-22,FY24,2023-12,Dec,2023Q4,2023-W51,Friday,1
2023-12-23,FY24,2023-12,Dec,2023Q4,2023-W51,Saturday,1
2023-12-24,FY24,2023-12,Dec,2023Q4,2023-W52,Sunday,1
2023-12-25,FY24,2023-12,Dec,2023Q4,2023-W52,Monday,1
2023-12-26,FY24,2023-12,Dec,2023Q4,2023-W52,Tuesday,1
2023-12-27,FY24,2023-12,Dec,2023Q4,2023-W52,Wednesday,1
2023-12-28,FY24,2023-12,Dec,2023Q4,2023-W52,Thursday,1
2023-12-29,FY24,2023-12,Dec,2023Q4,2023-W52,Friday,1
2023-12-30,FY24,2023-12,Dec,2023Q4,2023-W52,Saturday,1
